Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ALX,"Alexander&#39;s, Inc.",315,$1.61B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx
AM,Antero Midstream Corporation,5.98,$3.01B,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/am
AMC,"AMC Entertainment Holdings, Inc.",8.35,$867.15M,2013,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/amc
AMCR,Amcor plc,10.76,$17.43B,2019,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/amcr
AME,"AMTEK, Inc.",99.26,$22.69B,n/a,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/ame
AMG,"Affiliated Managers Group, Inc.",86.1,$4.24B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg
AMH,American Homes 4 Rent,25.83,$7.77B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amh
AMH^D,American Homes 4 Rent,26.45,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,26.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,25.82,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,25.66,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^g
AMH^H,American Homes 4 Rent,26.8029,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^h
AMK,"AssetMark Financial Holdings, Inc.",27.84,$2.02B,2019,Finance,Investment Managers,https://old.nasdaq.com/symbol/amk
AMN,AMN Healthcare Services Inc,59.48,$2.78B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/amn
AMOV,"America Movil, S.A.B. de C.V.",15.68,$51.75B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",167.44,$21.21B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amp
AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",6.46,$251.51M,2016,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ampy
AMRC,"Ameresco, Inc.",16.42,$772.28M,2010,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/amrc
AMRX,"Amneal Pharmaceuticals, Inc.",5.56,$1.66B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrx
AMT,American Tower Corporation (REIT),215.6,$95.5B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amt
AMX,"America Movil, S.A.B. de C.V.",15.67,$51.72B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amx
AN,"AutoNation, Inc.",50.45,$4.5B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/an
ANET,"Arista Networks, Inc.",198.64,$15.18B,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/anet
ANF,Abercrombie & Fitch Company,16.81,$1.05B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
ANFI,Amira Nature Foods Ltd,0.4062,$16.39M,2012,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/anfi
ANH,Anworth Mortgage Asset  Corporation,3.63,$358.81M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,26.39,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,22.51,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,25.68,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^c
ANTM,"Anthem, Inc.",291.78,$73.98B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/antm
AOD,Aberdeen Total Dynamic Dividend Fund,8.83,$931.4M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
AON,Aon plc,207.01,$48.47B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/aon
AOS,A.O Smith Corporation,46.19,$7.53B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
AP,Ampco-Pittsburgh Corporation,2.98,$37.67M,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/ap
APA,Apache Corporation,22.07,$8.3B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/apa
APAM,Artisan Partners Asset Management Inc.,31.37,$2.44B,2013,Finance,Investment Managers,https://old.nasdaq.com/symbol/apam
APD,"Air Products and Chemicals, Inc.",234.44,$51.69B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd
